Pricing Date,PHLX Semiconductor Sector Index (^SOX) - Index Value
Nov-22-2004,432.88
Nov-23-2004,429.71
Nov-24-2004,433.65
Nov-26-2004,430.98
Nov-29-2004,429.89
Nov-30-2004,423.87
Dec-01-2004,440.09
Dec-02-2004,438.71
Dec-03-2004,445.28
Dec-06-2004,446.88
Dec-07-2004,437.51
Dec-08-2004,431.91
Dec-09-2004,425.46
Dec-10-2004,422.75
Dec-13-2004,425.1
Dec-14-2004,433.02
Dec-15-2004,434.04
Dec-16-2004,427.09
Dec-17-2004,423.75
Dec-20-2004,419.4
Dec-21-2004,424.4
Dec-22-2004,424.05
Dec-23-2004,426.43
Dec-27-2004,423.09
Dec-28-2004,426.75
Dec-29-2004,430.53
Dec-30-2004,431.26
Dec-31-2004,433.31
Jan-03-2005,424.26
Jan-04-2005,410.36
Jan-05-2005,404.25
Jan-06-2005,402.14
Jan-07-2005,407.56
Jan-10-2005,406.25
Jan-11-2005,396.19
Jan-12-2005,401.83
Jan-13-2005,396.17
Jan-14-2005,403.14
Jan-18-2005,406.55
Jan-19-2005,397.89
Jan-20-2005,394.81
Jan-21-2005,389.66
Jan-24-2005,383.04
Jan-25-2005,389.87
Jan-26-2005,400.06
Jan-27-2005,403.67
Jan-28-2005,399.46
Jan-31-2005,403.96
Feb-01-2005,408.46
Feb-02-2005,405.83
Feb-03-2005,400.7
Feb-04-2005,418.16
Feb-07-2005,418.34
Feb-08-2005,427.49
Feb-09-2005,417.92
Feb-10-2005,420.46
Feb-11-2005,435.52
Feb-14-2005,436.22
Feb-15-2005,439.24
Feb-16-2005,435.53
Feb-17-2005,429.78
Feb-18-2005,427.73
Feb-22-2005,425.79
Feb-23-2005,424.02
Feb-24-2005,434.15
Feb-25-2005,443.7
Feb-28-2005,437.23
Mar-01-2005,447.05
Mar-02-2005,440.01
Mar-03-2005,434.42
Mar-04-2005,433.38
Mar-07-2005,441.54
Mar-08-2005,435.44
Mar-09-2005,434.33
Mar-10-2005,440.46
Mar-11-2005,427.88
Mar-14-2005,430.25
Mar-15-2005,421.12
Mar-16-2005,416.92
Mar-17-2005,417.8
Mar-18-2005,414.13
Mar-21-2005,413.41
Mar-22-2005,410.09
Mar-23-2005,414.86
Mar-24-2005,415.88
Mar-28-2005,415.5
Mar-29-2005,410.16
Mar-30-2005,419.66
Mar-31-2005,416.99
Apr-01-2005,411.22
Apr-04-2005,409.42
Apr-05-2005,409.91
Apr-06-2005,410.87
Apr-07-2005,418.97
Apr-08-2005,416.95
Apr-11-2005,413.61
Apr-12-2005,413.14
Apr-13-2005,401.93
Apr-14-2005,395.71
Apr-15-2005,382.64
Apr-18-2005,385.85
Apr-19-2005,392.56
Apr-20-2005,383.97
Apr-21-2005,394.72
Apr-22-2005,389.35
Apr-25-2005,391.44
Apr-26-2005,388.62
Apr-27-2005,387.73
Apr-28-2005,384.34
Apr-29-2005,385.65
May-02-2005,385.27
May-03-2005,385.08
May-04-2005,394.38
May-05-2005,394.32
May-06-2005,396.82
May-09-2005,398.54
May-10-2005,394.43
May-11-2005,395.87
May-12-2005,397.02
May-13-2005,408.23
May-16-2005,411.11
May-17-2005,414.56
May-18-2005,418.89
May-19-2005,420.09
May-20-2005,425.23
May-23-2005,423.86
May-24-2005,430.43
May-25-2005,425.69
May-26-2005,433.6
May-27-2005,430.43
May-31-2005,428.95
Jun-01-2005,432.11
Jun-02-2005,440.07
Jun-03-2005,434.26
Jun-06-2005,432.28
Jun-07-2005,427.52
Jun-08-2005,430.27
Jun-09-2005,438.49
Jun-10-2005,430.75
Jun-13-2005,430.32
Jun-14-2005,425.65
Jun-15-2005,427.23
Jun-16-2005,429.33
Jun-17-2005,430.51
Jun-20-2005,428.3
Jun-21-2005,431.36
Jun-22-2005,433.68
Jun-23-2005,435.25
Jun-24-2005,427
Jun-27-2005,421.37
Jun-28-2005,425.19
Jun-29-2005,421.37
Jun-30-2005,419.07
Jul-01-2005,419.36
Jul-05-2005,425.87
Jul-06-2005,430.33
Jul-07-2005,431.89
Jul-08-2005,442.75
Jul-11-2005,451.6
Jul-12-2005,456.1
Jul-13-2005,458.15
Jul-14-2005,463.93
Jul-15-2005,463.64
Jul-18-2005,460.84
Jul-19-2005,468.75
Jul-20-2005,476.73
Jul-21-2005,468.94
Jul-22-2005,475.19
Jul-25-2005,472.17
Jul-26-2005,477.04
Jul-27-2005,473.89
